lii,bii,t90
173.14,54.76,
169.02,12.46,  76.544
128.39,72.49,
129.86,72.38,  10.464
79.22,8.26, 103.808
112.81,-17.04,
70.55,34.73,   0.640
93.79,-7.98,   0.096
168,11.48,   6.528
159.01,-1.55,
115.29,71.91,
172.49,22.38,
121.48,-17.74,  24.864
102.65,-13.15,   1.041
153.13,-6.8,  77.824
70.75,37.18,  63.392
100.77,-12.06,
151.08,-8.26,   0.167
171.49,54.76,  20.544
76.95,14.42,   0.976
118.22,71.59,  20.864
173.55,28.21,
119.87,-17.26,  22.784
166.64,10.28,  18.848
153.62,67.31,  53.760
91.53,67.05,
169.11,15.75,
128.78,-16.6,
83.47,62.93,   0.060
78.39,12.81,  15.872
148.1,-9.4,   3.287
168.12,14.4,   2.512
124.28,-16.67,  49.152
173.95,38.55,
72.26,33.57,   1.407
83.24,62.17,   0.124
75.24,21.45,
79.23,58.15,
161.64,62.15,  54.976
165.93,58.14,   0.461
172.66,43.45,  41.472
167.45,56.3,   5.440
167.17,14.89,  35.008
164.92,58.69,  35.968
86.37,2.44,  75.552
119.81,-15.51,   7.104
90.72,64.67,
143.23,-10.8, 119.136
73.29,36.87,  37.408
92.51,-3.79,   6.272
153.47,-3.69,
126.8,-15.24,  58.112
73.61,35.5,  11.072
124,-15.32,   9.408
114.97,-14.47, 389.376
84.83,60.81,  18.080
93.58,-4.15,   1.408
81.33,11.25,  32.512
79.81,55.6,  43.200
74.57,42.69,  46.272
126.9,68.98,  72.448
171.1,43,   9.024
94.31,-4.13,  17.888
135.78,68.11,   0.448
168.2,51.35,  51.776
81.18,56.16,
138.22,67.6,  10.432
145.19,-8.32,  20.928
156.36,0.81,
75.01,39.64,  51.200
79.64,16.43,   0.384
110.05,67.75,   7.744
102.08,-8.95,   1.408
123.75,-14.17,
89.15,61.78,   0.448
161.21,7.61,  76.768
168.83,24.68,
123.98,-13.97,  17.088
84.54,58.45,  20.096
169.36,46.14,
124.31,-13.93,  27.648
79.41,17.92,   7.744
79.1,51.97,
76.06,30.46,
170.26,39.27,  24.256
169.04,26.95,  62.656
120.07,67.87,   1.897
147.25,-6.06,   0.256
76.02,33.25,  12.544
111.03,67.12,  18.944
117.6,67.63,   0.240
123.65,-13.46,  74.368
84.53,8.96,  11.328
80.9,53.44,
76.09,37.59,  52.672
98.44,-5.62,   0.685
169.56,33.6,   0.496
77.12,28.11, 149.248
77.06,28.97,  18.752
154.01,61.54,  21.824
167.84,46.51,  12.800
164.1,14.91,   0.207
167.16,23.71,  66.944
114.1,-11.68,
141.31,-8.37,  13.056
77.36,40.84,   9.952
108.62,-10.04, 174.656
78.75,46.47, 195.200
78.13,43.67,   0.768
147.13,-4.71,   9.150
87.67,57.97,  32.960
108.41,65.49,  22.720
157.07,4.86,   0.084
83.51,13.08,   4.032
164.99,18.96,   8.320
159.65,8.55,
167.77,42.46, 110.848
81.1,18.54,  52.160
148.19,-3.7,
94.36,61.44,   4.169
161.34,11.56,  28.768
136.07,-9.69,   0.640
166.52,25.69, 118.304
163.02,16.28,  10.048
165.27,22.37,  47.168
83.58,52.2,   0.448
82.31,17.85, 100.672
166.81,30.28,
137.91,-8.36,  36.800
155.71,4.91, 110.464
164.77,47.24,  63.232
95.78,-0.85,  90.112
102.47,-5.62,   2.290
90.52,4.75,  26.432
141.61,-6.4,   1.280
162.05,15.46,
99.99,62.03,
155.79,5.81,   0.088
163.75,47.59,   0.067
132.09,64.25,
89.15,55.57,
128.6,-9.88,
120.87,-10.17,   0.068
81.62,44.46,  12.128
141.82,62.07,   0.680
93.17,3.31,   0.034
164.26,43.69,   3.456
145.22,-3.01,   2.347
114.09,63.63,
161.11,49.72,   0.392
118.74,-9.49,   0.074
81.28,41,  48.064
138.24,-6.52,  10.336
149.56,0.71,   8.064
114.63,63.45,
111.18,-7.71,   3.264
91.98,5.51,  16.832
110.4,-7.18,  26.560
138.32,-6.07,  30.080
84,19.93,   3.392
163.41,42.73,  18.432
95.43,2.33,  32.000
153.22,5.41,  10.304
162.56,22.87,  18.432
162.39,44.79,  80.832
96.94,58.2,   4.672
152.5,4.77,  22.048
144.23,-2.38,  13.088
102.84,-2.98,  58.560
107.09,-5.23,   7.104
126.53,62.77,   6.784
147.47,0.29,  22.656
83.7,23.05,   0.727
143.61,-2.29,  88.864
113.57,62,   0.131
108.22,-5.29,  52.672
157.63,13.03,
84.35,22.52,
158.67,48.74,   0.052
83.65,26.17,  35.136
144.65,-0.85,  43.776
97.5,2.74,
151.73,54.34,  65.856
119.86,-6.99,  10.112
90.35,11.69,  16.288
88.25,15.43,   7.936
89.2,49.4,
84.22,28.58,   4.800
93.19,7.98,   5.888
156.14,13.37,   6.528
161.23,38.62,
160.77,40.09,
86.87,19.85,
141.11,-1.7,   0.320
93.56,8.17,   0.144
90.94,12,
121.23,-6.32,  55.904
112.63,-4.84,  96.576
128.67,60.35,   0.192
132,60,
133.37,59.71,  16.704
132.97,-4.53,   0.020
117.41,59.96,  60.224
140.57,57.73,
135.65,-3.26,   0.128
85.89,36.76,  95.360
121.47,59.76,   0.206
123.41,-5.37,  83.008
137.82,57.88,
88.2,43.8,  15.104
95.87,7.22,
95.2,8.02,  37.696
152.19,50.88,  18.144
150.54,7.88,
153.94,49.15,   7.296
98.13,53.9,
159.07,39.53,  12.640
130.73,-4.3,
159.06,38.99,  51.712
97.13,6.2,   0.320
99.16,4.29,
109.71,-2.42,
150.82,51.5,  25.856
118.73,59.08,
132.78,58.43,  28.608
158.55,39.86,  23.296
157.46,42.79,  19.840
100.46,3.72,
86.76,31.32,   7.232
157.71,22.88,  39.648
89.34,19.46,   4.976
98.14,6.04,
102.33,2.46,  33.920
125.75,-4.33,  49.664
158.77,35.45,  25.792
149.55,8.31,
87.59,37.55,  13.184
87.58,27.19,  33.472
123.56,58.45,  24.544
88.81,22.22,
110.96,57.1,   0.032
112.43,-2.29,  14.976
141.86,55.03,
88.81,23.01,
93.26,13.08,
103.39,54.73,  37.632
137.81,-0.34,   9.536
88.07,27.66,  11.008
90.29,19.74,
92.3,46.08,
88.14,29.96,
96.35,9.64,
89.05,24.51,   1.235
92.48,15.74,  48.192
134.5,56.41,   0.456
88.34,32.3,   0.192
155.31,42.09,
111.9,-1.21,  36.224
126.45,57.25,
132.44,-1.68,  26.944
153.76,44.61,
138.38,0.95,   0.144
90.1,22.88,   3.904
110.84,55.59,
156.39,27.84,   0.311
92.59,43.67,  58.816
141.82,3.91,   0.608
135.52,0.36,
144.56,6.2,
140.48,53.43,  11.136
117.72,-1.72,  16.832
91.54,20.92,   7.808
151.79,45.19,
154.79,22.53, 144.928
120.1,56.23,   5.760
97.25,11.47,  78.208
155.28,34.31, 151.456
102.63,6.06,   1.606
138.67,53.18,
136.22,1.6,   1.664
132.79,0.46,  63.360
94.68,43.92,
154.88,34.12,
115.23,54.7,  45.248
110.34,53.67,  65.568
107.36,3.39,
98.87,10.68,  21.888
91.46,26.99,  17.664
118.67,54.81,  12.736
154.59,30.58,  12.864
96.61,45.45, 122.944
91.48,28.16,   0.064
94.56,42.72,   1.856
147.63,47.02,   0.097
146.92,11.01,
135.16,53.29,   3.008
142.26,6.64,  19.200
145.72,10.24,
153.63,26.73,   0.064
102.92,7.54,  12.212
125.73,54.21,
112.64,1.94,   2.614
149.55,16.74,  32.384
134.9,52.24,
96.67,42.74,  34.880
112.82,2.68,
106.56,50.17,  17.152
152.14,35.44,  21.696
93.67,35.12,   0.896
95.93,40.88,   3.904
129.93,2.04,   0.076
108.66,50.44,
136.11,4.69,   0.256
149.44,18.92,   0.200
151.35,24.55,  42.496
94.07,33.56,  17.440
138.31,49.83,
150.17,38.75,   0.387
149.14,40.71,   1.152
94.23,31.88,
94.91,24.73,  20.160
119.83,2.1,   2.560
98.84,43.05,   0.769
151.39,32.31,
126.58,2.37,   0.380
148.37,18.44,
99.5,43.18,
147.51,17.24,  51.136
142.95,11.1,
95.51,25.37,  74.304
149.7,22.87,   0.036
150.49,27.81,  24.192
114.18,4.28, 229.888
148.35,38.54,  63.296
129.85,50.59,   2.447
142.3,11.43,   5.056
96.56,35.6,   0.576
120.43,3.29,   0.320
99.22,40.83, 155.072
130.48,50.21,  31.232
117.1,4.17,   0.192
124.01,3.64,   0.256
132.19,5.44,  20.192
128.37,49.92,  14.528
142.34,12.77,   2.496
98.96,19.75,   4.288
141.8,44.63,
120.86,4.26,
97.18,27.19,   1.100
146.6,38.41,   4.779
106.08,45.47,  25.856
140.03,45.18,  14.016
114.19,6.22,   0.200
133.78,7.43,   0.192
124.66,49.16,
99.5,36.45,
109.44,46.13,   4.890
113.19,7.42,
132.37,47.56,
142.16,14.92,   5.952
145.88,36,   0.640
99.39,24.41,   5.760
110.79,9.24,
126.72,6.21,  67.520
141.82,41.62, 123.136
146.77,28.35,  69.952
139.46,43.46,  36.864
145.62,22.51,   1.920
99.35,26.57,
134.95,9.71,   4.928
99.78,31.81,   0.219
144.66,36.34,  20.800
102.03,19.87,
129.37,7.61,  66.432
117.83,7.33,   4.992
108.58,12.21,   4.288
133.72,9.84,  90.560
138.52,42.48,  16.896
138.95,13.99,  20.864
116.24,8.32,   2.880
133.39,45.1,   2.752
144.78,32.48,   6.656
109.42,43.41,  23.680
102.22,35.38,
104,38.26,
104.03,37.52,
107.48,15.39,   0.051
112.89,43.68,
142.4,21.97,   0.132
131.49,10.63,
112.12,11.94,  36.864
107.63,40.2,   3.584
142.73,23.93,  77.952
107.13,17.28,
120.17,10.01,
126.07,44.24,   1.536
133.61,13.03,   0.088
105.55,34.98,   2.368
104.2,27.71,
140.85,23.7,  18.240
136.74,16.84,  98.496
140.15,32.62,  48.512
120.44,42.87,  31.872
139.86,23.07,
120.53,11.46,  31.808
127.46,42.06,   0.512
137.59,35.82, 220.480
122.48,12.09,  62.336
131.83,14.74, 140.480
119.81,12.72,  33.376
132.32,15.57,   0.442
106.68,27.7,   0.268
138.95,27.58, 181.952
118.74,40.8,
112.89,38.35,   0.604
107.24,27.28,
135.19,19.06,   2.288
118.9,13.96,  23.808
125.05,40.66,   0.448
136.11,34.74,   1.141
133.24,37.59,   2.240
137.86,27.52,
137.28,24.64,  19.456
112.66,36.78,   2.964
128.34,15.69,  67.712
136.21,31.28,  26.176
119.42,15.52,
109.51,26.69,
110.17,31.28, 384.704
134.18,21.33,   0.232
124.65,15.49,  12.736
111.67,21.47,
110.98,23.14,
128.85,37.35,   3.392
111.52,22.87,
112.9,20.92,   2.470
120.65,37.88,
127,37.34,  26.624
126.79,37.07,   0.464
133.8,25.19,  15.872
112.07,28.5,  45.056
130.87,33.94,  84.352
132.44,31.76,
112.87,24.59, 133.440
132.5,31.43,  23.104
125.46,36.1,  47.296
112.9,29.68,  41.344
112.7,26.28,   0.085
113.98,31.94,
113.02,25.12,  35.168
130.56,21.64,   0.610
129.82,33.5,
127.76,34.79,
126.41,34.91,  46.656
116.35,33.18, 149.184
129.03,32.97,  30.656
131.56,25.94,
116.56,22.37,   4.955
115.05,27.16,
117.5,22.57,   3.008
129.95,25.42,  11.008
129.73,27.86,   0.360
116.38,27.86,
126.08,22.11,
125.62,32.33,
119.24,22.56,  23.264
125.88,22.22,   0.090
123.37,32.37,   0.708
127.06,30.49,  31.648
125.06,31.28,  23.552
121.29,31.16,
124.61,23.49,  42.208
122.55,30.92,   0.078
122.2,30.26,   0.344
120.04,28.3, 109.824
124.3,24.67,
124.89,27.9,  11.264
