lii,bii,t90
302.68,14.32, 119.808
301.78,-68.72,
267.07,-61.11,
257.58,-51.31,
351.22,-35.26,   1.792
257.52,-20.85,  46.720
255.37,-28.85,
272.18,2.3,   3.072
315.23,-68.33,
351.61,-37.78,  10.688
325.46,-66.84,
255.68,-24.89,   0.496
300.52,15.09,   0.768
325.84,8.9,  13.888
350.53,-26.01,   4.416
256.71,-20.9,  29.696
263.18,-7.43,  72.320
253.95,-30.85, 114.496
275.25,6.3, 219.584
352.24,-31.7,   0.384
287.68,-69.02,  25.504
344.34,-59.38,  16.320
341.07,-4.04, 131.648
253.18,-43.98,
268.58,-64.25,   0.104
269.7,1.81,
257.67,-16.24,   1.408
335.97,2.09,
304.04,16.13,  33.280
339.87,-2.09,   0.123
318.39,-69.58,
340.32,-2.42,
349.34,-18.12,  26.816
342.69,-5.54,   3.214
353.4,-43.77,  36.800
290.09,-70.21,  78.656
353.86,-42.68,  60.096
347.67,-58.18,  35.584
354.08,-41.76,  67.136
354.09,-36.18,
254.98,-20.71,  17.792
337.92,1.29,   0.896
261.74,-61.87,
332.99,6.15,
314.84,15.6,  24.576
349.24,-15.9,
351.88,-22.93,
264.56,-2.27,
251.47,-45.05,  11.264
351.67,-21.78,  16.992
354.23,-32.44,
296.35,16.85,   9.984
292.6,16.19,
315.55,-71.04, 239.552
353.69,-28.63,
354.9,-42.23,  31.104
269.86,3.96,  35.872
266.69,-65.51,
276.83,9.57,   0.192
309.13,17.05,   3.136
270.6,-67.43,   3.392
272,-67.9,  13.376
352.07,-54.44,  18.496
353.66,-27.04,   0.420
335.84,-67.31,  26.816
341.21,-64.96, 266.752
337.25,3.19,
350.24,-57.57,   0.384
348.51,-12.77,   1.954
343.67,-4.51, 170.560
250.44,-43.81, 616.256
355.34,-35.21,  16.064
301.82,17.92,   0.256
354.68,-30.19,  17.024
316.35,16.19,  88.576
337.15,-67.36,  20.736
355.82,-37.62, 200.032
267.85,3.06,
268.48,3.73,  23.744
306.49,18.11,
343.51,-3.49,  19.776
309.16,17.86,  64.014
351.87,-56.66,  51.840
249.81,-39.35,   1.344
285.54,15.02,  20.544
351.74,-18.62,  25.280
250.54,-30.33,   1.008
346.84,-8.08,   6.464
345.11,-64.37,  25.984
338.76,3.31,
249.32,-46.85,
268.43,-68.56,   0.704
343.39,-1.75,   4.864
322.18,15.34,
322.79,15.09,   0.100
249.98,-27.93,   0.768
257.47,-8.81,   0.132
335.17,7.55,   0.320
357.89,-44.19,  36.480
250.07,-26.43,  57.920
347.73,-7.05,  18.560
357.76,-34.76,  15.168
320.37,17.02,  27.712
357.82,-50.33,  22.144
